Breath - Time            Arduino Time             A value of 5             An incrementing value    
7/14:19:30               
1 7/14:19:31,            0,                       5,                       0                        
2 7/14:19:32,            1008,                    5,                       1                        
3 7/14:19:33,            2021,                    5,                       2                        
4 7/14:19:34,            3034,                    5,                       3                        
5 7/14:19:35,            4046,                    5,                       4                        
6 7/14:19:36,            5058,                    5,                       5                        
7 7/14:19:37,            6071,                    5,                       6                        
8 7/14:19:40,            7084,                    5,                       7                        
9 7/14:19:40,            8096,                    5,                       8                        
10 7/14:19:40,           9109,                    5,                       9                        
11 7/14:19:41,           10121,                   5,                       10                       
